35,"A J RENNER SA IND E PARTIP","EMP. ADM. PARTICIPAÇÕES","92659614000106","","CANCELADA","","PORTO ALEGRE","RS",""
60,"ACOPALMA CIA INDL ACOS V PALMA","METALURGIA E SIDERURGIA","18451005000104","","CANCELADA","MAATOLEDO@UOL.COM.BR","VÁRZEA DA PALMA","MG",""
78,"ACOS ANHANGUERA SA","METALURGIA E SIDERURGIA","61150660000143","","CANCELADA","","SÃO PAULO","SP",""
86,"ACOS DO BRASIL SA IND E COM","METALURGIA E SIDERURGIA","60890688000154","","CANCELADA","","SANTO ANDRÉ","SP",""
94,"PANATLANTICA SA","METALURGIA E SIDERURGIA","92693019000189","","ATIVO","JANTONIO@PANATLANTICA.COM.BR","GRAVATAÍ","RS","BRASIL"
108,"AÇOS VILLARES SA","METALURGIA E SIDERURGIA","60664810000174","","CANCELADA","inform@gerdau.com.br","SÃO PAULO","SP","BRASIL"
116,"ACRINOR ACRILONITRILA DO NE SA","QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA","13546353000133","","CANCELADA","","CAMAÇARI","BA",""
132,"ADESENE ADESIVOS NO NORDESTE SA","QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA","11029808000118","","CANCELADA","","JOÃO PESSOA","PB",""
140,"YARA BRASIL FERTILIZANTES","QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA","92660604000182","","CANCELADA","ademar.fronchetti@yara.com","PORTO ALEGRE","RS","BRASIL"
159,"ADUBOS VIANNA SA INDUSTRIA E COMERCIO","QUÍMICA, PETROQUÍMICA, COMBUSTÍVEIS E BORRACHA","17157215000113","","CANCELADA","","COTIA","SP",""
167,"AEROFOTO CRUZEIRO SA","SERVICOS DIVERSOS","33037169000175","","CANCELADA","","RIO DE JANEIRO","RJ",""
175,"AGGS INDS GRAFICAS SA","GRÁFICAS E EDITORAS","33058793000159","","CANCELADA","","RIO DE JANEIRO","RJ",""
183,"AGRALE SA","MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS","88610324000192","","CANCELADA","juridico@agrale.com.br","CAXIAS DO SUL","RS",""
191,"AGRILEASING SA ARREND MERC","ARRENDAMENTO MERCANTIL","88070990000185","","CANCELADA","","PORTO ALEGRE","RS",""
205,"AGRO PASTORIL CARIRI SA CARIRISA","AGRICULTURA (AÇUCAR, ALCOOL E CANA)","9378563000192","","CANCELADA","","CAMPINA GRANDE","PB",""
213,"AGROPECUARIA TAMAKAVY SA","AGRICULTURA (AÇUCAR, ALCOOL E CANA)","3143716000136","","CANCELADA","","SÃO FÉLIX DO ARAGUAIA","MT",""
221,"AGRONORTE SA","AGRICULTURA (AÇUCAR, ALCOOL E CANA)","21444765000190","","CANCELADA","","BELO HORIZONTE","MG",""
248,"DANA-ALBARUS S.A. INDÚSTRIA E COMÉRCIO","MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS","92758085000190","","CANCELADA","paulo.born@dana.com","GRAVATAÍ","RS",""
256,"ALCAN ALUMINIO DO BRASIL SA","METALURGIA E SIDERURGIA","60561800000103","","CANCELADA","","SÃO PAULO","SP",""
264,"ALCOA ALUMINIO SA","METALURGIA E SIDERURGIA","23637697000101","","CANCELADA","","SÃO PAULO","SP",""
272,"ALFA NORDESTE SA INDUSTRIA DO VESTUARIO","TEXTIL E VESTUÁRIO","15167984000177","","CANCELADA","","SALVADOR","BA",""
280,"ALFRED SA COMERCIO DO VESTUARIO","TEXTIL E VESTUÁRIO","92689173000187","","CANCELADA","","CAXIAS DO SUL","RS",""
302,"ALMEC INDUSTRIAS MECANICA SA","METALURGIA E SIDERURGIA","18012393000119","","CANCELADA","","MONTES CLAROS","MG",""
310,"ALPART ALPA PARTICIPACOES SA","EMP. ADM. PARTICIPAÇÕES","47848684000140","","CANCELADA","","SÃO PAULO","SP",""
329,"ALPINA BRASIL SA MAQ IMP AGRIC","MÁQUINAS., EQUIPAM., VEÍCULOS E PEÇAS","87819926000191","","CANCELADA","","CAXIAS DO SUL","RS",""
337,"ALPLAN SA IND COM CH MAD AGLOM","CONSTR. CIVIL, MAT.CONSTR. DECORAÇÃO","49705528000155","","CANCELADA","","SÃO PAULO","SP",""
345,"ALUMINIO EXTRUSAO LAMINACAO","EMP. ADM. PARTICIPAÇÕES","10886893000178","","CANCELADA","","RIO DE JANEIRO","RJ",""
353,"ALUSUD ALUMINIO DO SUL SA","METALURGIA E SIDERURGIA","82998600000155","","CANCELADA","","TUBARAO","SC",""
